event_id,ticker,event_date,fnspid_checked,fnspid_hit_pre_7d,fnspid_hit_day0,fnspid_hit_post_1d,fnspid_hit_post_3d,fnspid_hit_post_7d,fnspid_total_hits_window,fnspid_unique_publishers_window,fnspid_primary_article_count,fnspid_secondary_article_count,fnspid_hit_sources,fnspid_sample_titles_redacted_or_short,fnspid_status,fnspid_error_category
29,NFLX,2023-07-28,True,0,0,0,0,0,0,0,0,0,none,,success,
30,MSFT,2023-07-28,True,225,19,23,52,139,364,0,364,0,primary_only,k:f6751069dc | k:faf8bbb0a7 | k:b82fc74906 | k:5c9bc09c6a | k:5dbe07d49a,success,
31,NFLX,2023-08-25,True,0,0,0,0,0,0,0,0,0,none,,success,
32,NFLX,2023-08-25,True,0,0,0,0,0,0,0,0,0,none,,success,
33,MSFT,2023-08-25,True,122,16,22,40,110,232,0,232,0,primary_only,k:4ac618055f | k:496d7ac687 | k:7bea28e477 | k:c28c13f721 | k:02c8e68a94,success,
34,AAPL,2023-09-08,True,132,48,54,101,269,401,0,401,0,primary_only,k:e6f5122f53 | k:fe4668da5f | k:c82fdf9c1a | k:cd242e30da | k:76a0e4180f,success,
35,AAPL,2023-09-08,True,132,48,54,101,269,401,0,401,0,primary_only,k:e6f5122f53 | k:fe4668da5f | k:c82fdf9c1a | k:cd242e30da | k:76a0e4180f,success,
36,AAPL,2023-09-08,True,132,48,54,101,269,401,0,401,0,primary_only,k:e6f5122f53 | k:fe4668da5f | k:c82fdf9c1a | k:cd242e30da | k:76a0e4180f,success,
37,AAPL,2023-09-08,True,132,48,54,101,269,401,0,401,0,primary_only,k:e6f5122f53 | k:fe4668da5f | k:c82fdf9c1a | k:cd242e30da | k:76a0e4180f,success,
38,AAPL,2023-09-08,True,132,48,54,101,269,401,0,401,0,primary_only,k:e6f5122f53 | k:fe4668da5f | k:c82fdf9c1a | k:cd242e30da | k:76a0e4180f,success,
39,AAPL,2023-09-08,True,132,48,54,101,269,401,0,401,0,primary_only,k:e6f5122f53 | k:fe4668da5f | k:c82fdf9c1a | k:cd242e30da | k:76a0e4180f,success,
40,AMD,2025-07-11,True,0,0,0,0,0,0,0,0,0,none,,success,
41,AMZN,2023-09-30,True,196,8,15,68,140,336,0,336,0,primary_only,k:8b00106aa0 | k:08326ec678 | k:1a17798fcf | k:279df6fa96 | k:2c11f9b94a,success,
42,MSFT,2023-09-30,True,137,6,14,62,126,263,0,263,0,primary_only,k:1daa54d3b8 | k:8b00106aa0 | k:279df6fa96 | k:5ebfdcc66d | k:7735af1f31,success,
43,MSFT,2023-09-30,True,137,6,14,62,126,263,0,263,0,primary_only,k:1daa54d3b8 | k:8b00106aa0 | k:279df6fa96 | k:5ebfdcc66d | k:7735af1f31,success,
44,NVDA,2025-10-05,True,0,0,0,0,0,0,0,0,0,none,,success,
45,MSFT,2023-07-07,True,86,22,26,41,183,269,0,269,0,primary_only,k:6fb708ceb1 | k:39b9fc7e7d | k:6dd864459e | k:1794736166 | k:d482272bad,success,
46,AAPL,2023-11-20,True,107,10,22,47,85,192,0,192,0,primary_only,k:ba3d9dfe6d | k:ab5a5683fc | k:9981e397ec | k:a773953af9 | k:b0c2dddb2d,success,
47,AAPL,2023-11-20,True,107,10,22,47,85,192,0,192,0,primary_only,k:ba3d9dfe6d | k:ab5a5683fc | k:9981e397ec | k:a773953af9 | k:b0c2dddb2d,success,
48,UBER,2023-11-20,True,12,6,9,14,19,31,0,31,0,primary_only,k:2ecaa4a43c | k:a185243529 | k:f8636a2185 | k:bfd69bab60 | k:0fa0a99c8a,success,
49,PYPL,2023-08-06,True,64,1,8,18,29,93,0,93,0,primary_only,k:ee4ee4c801 | k:5fc21efd43 | k:16ab0183e6 | k:2dcb821e5c | k:5432b9a7bb,success,
50,MSFT,2024-11-01,True,0,0,0,0,0,0,0,0,0,none,,success,
51,MSFT,2024-11-01,True,0,0,0,0,0,0,0,0,0,none,,success,
52,TSLA,2023-04-14,True,91,22,26,72,222,313,0,313,0,primary_only,k:5a801191c7 | k:8f6ee8fd5f | k:6438f840b1 | k:459c15a643 | k:6d88ae3968,success,
53,MSFT,2023-04-14,True,101,16,21,57,131,232,0,232,0,primary_only,k:185091bb2d | k:459c15a643 | k:29676b07f3 | k:800fb71431 | k:5fa953b4d0,success,
54,NVDA,2024-02-01,True,0,0,0,0,0,0,0,0,0,none,,success,
55,AMZN,2024-02-01,True,0,0,0,0,0,0,0,0,0,none,,success,
56,NVDA,2025-08-25,True,0,0,0,0,0,0,0,0,0,none,,success,
57,NVDA,2025-08-25,True,0,0,0,0,0,0,0,0,0,none,,success,
58,TSLA,2023-08-07,True,101,17,41,62,117,218,0,218,0,primary_only,k:18dccd1b3d | k:4ba5309fb5 | k:f31631a5f2 | k:cd6cbf7280 | k:00da6f4e13,success,
59,AMZN,2023-08-07,True,185,23,48,106,150,335,0,335,0,primary_only,k:b56ff9072f | k:c51c3b9a16 | k:99c8c54339 | k:cea995503f | k:654e3c22e3,success,
60,NVDA,2025-08-28,True,0,0,0,0,0,0,0,0,0,none,,success,
61,GOOGL,2025-08-28,True,0,0,0,0,0,0,0,0,0,none,,success,
62,TSLA,2023-07-21,True,214,29,37,69,154,368,0,368,0,primary_only,k:eecdf2ae83 | k:3afe46f082 | k:4a3498946d | k:74de072e26 | k:7501fdd266,success,
63,MSFT,2023-10-26,True,199,29,61,75,169,368,0,368,0,primary_only,k:6f4fcdd72b | k:c1e975afff | k:045c3192d1 | k:638f9ec93c | k:3760ac689a,success,
64,GOOGL,2023-10-26,True,0,0,0,0,0,0,0,0,0,none,,success,
65,TSLA,2023-10-26,True,157,23,43,56,145,302,0,302,0,primary_only,k:d6f1a28776 | k:13724779db | k:3176343ff1 | k:52b71509ef | k:4ec9c610a2,success,
66,SOFI,2025-09-12,True,0,0,0,0,0,0,0,0,0,none,,success,
67,NVDA,2025-09-12,True,0,0,0,0,0,0,0,0,0,none,,success,
68,NFLX,2026-03-04,True,0,0,0,0,0,0,0,0,0,none,,success,
69,NVDA,2025-08-21,True,0,0,0,0,0,0,0,0,0,none,,success,
70,MSFT,2025-08-21,True,0,0,0,0,0,0,0,0,0,none,,success,
71,DIS,2026-02-12,True,0,0,0,0,0,0,0,0,0,none,,success,
72,UBER,2025-07-15,True,0,0,0,0,0,0,0,0,0,none,,success,
73,NFLX,2023-04-18,True,0,0,0,0,0,0,0,0,0,none,,success,
74,NFLX,2023-04-18,True,0,0,0,0,0,0,0,0,0,none,,success,
75,GOOGL,2023-04-18,True,0,0,0,0,0,0,0,0,0,none,,success,
76,NVDA,2024-02-22,True,0,0,0,0,0,0,0,0,0,none,,success,
77,MSFT,2026-03-06,True,0,0,0,0,0,0,0,0,0,none,,success,
78,AMZN,2026-03-06,True,0,0,0,0,0,0,0,0,0,none,,success,
79,DIS,2024-08-09,True,0,0,0,0,0,0,0,0,0,none,,success,
80,PYPL,2025-09-17,True,0,0,0,0,0,0,0,0,0,none,,success,
81,META,2025-09-17,True,0,0,0,0,0,0,0,0,0,none,,success,
82,DIS,2023-09-15,True,46,12,15,23,74,120,0,120,0,primary_only,k:a73f94d302 | k:8adf43eab7 | k:9675c149a2 | k:0274c48e61 | k:e7f9b3ee2e,success,
83,AAPL,2023-09-15,True,248,21,27,61,156,404,0,404,0,primary_only,k:26590cca54 | k:efaa346117 | k:6d54b641ca | k:36dc2f6a91 | k:52f6a3bc7b,success,
84,GOOGL,2025-07-25,True,0,0,0,0,0,0,0,0,0,none,,success,
85,NVDA,2023-07-24,True,108,16,36,102,156,264,0,264,0,primary_only,k:6e16acdf93 | k:790e21aaca | k:b0dfbddf6f | k:90aacdc8b3 | k:87bedb2482,success,
86,NVDA,2023-07-24,True,108,16,36,102,156,264,0,264,0,primary_only,k:6e16acdf93 | k:790e21aaca | k:b0dfbddf6f | k:90aacdc8b3 | k:87bedb2482,success,
87,GOOGL,2025-08-20,True,0,0,0,0,0,0,0,0,0,none,,success,
88,META,2026-02-24,True,0,0,0,0,0,0,0,0,0,none,,success,
89,GOOGL,2023-03-17,True,0,0,0,0,0,0,0,0,0,none,,success,
90,GOOGL,2023-03-17,True,0,0,0,0,0,0,0,0,0,none,,success,
91,AAPL,2023-03-17,True,71,13,17,29,97,168,0,168,0,primary_only,k:519d44fc72 | k:c7058bd547 | k:a96c63cd9d | k:9c64b85828 | k:3f124cbe1d,success,
92,AAPL,2023-03-17,True,71,13,17,29,97,168,0,168,0,primary_only,k:519d44fc72 | k:c7058bd547 | k:a96c63cd9d | k:9c64b85828 | k:3f124cbe1d,success,
93,NFLX,2023-03-17,True,0,0,0,0,0,0,0,0,0,none,,success,
94,NVDA,2023-03-17,True,42,16,18,36,98,140,0,140,0,primary_only,k:4c128fc9ed | k:f2bfb34778 | k:3f124cbe1d | k:1c77828e15 | k:d5c503bb11,success,
95,MSFT,2023-07-21,True,206,28,33,87,244,450,0,450,0,primary_only,k:71e79d6d4f | k:633730299f | k:98a88ce634 | k:d1cca18a9c | k:025d41c6b8,success,
96,NVDA,2023-07-21,True,114,22,24,44,157,271,0,271,0,primary_only,k:98a88ce634 | k:88cf1a489b | k:5f22f8deac | k:566e238dad | k:535607dad6,success,
97,NVDA,2023-11-23,True,201,19,54,64,164,365,0,365,0,primary_only,k:36574de9db | k:432f76994d | k:fb5a6c1357 | k:e3a5ad2b0a | k:b871b8801e,success,
98,AAPL,2023-11-23,True,78,12,29,38,95,173,0,173,0,primary_only,k:c01d3b7b83 | k:58f3ac2d53 | k:caebe94f1f | k:00f0055349 | k:f66f3a54cc,success,
99,MSFT,2023-11-23,True,167,12,28,39,125,292,0,292,0,primary_only,k:adc0bb038a | k:117cf05a5d | k:0e6d24cd5d | k:b1f5ee0b24 | k:3c2d86eceb,success,
100,NVDA,2025-08-13,True,0,0,0,0,0,0,0,0,0,none,,success,
101,NVDA,2025-08-13,True,0,0,0,0,0,0,0,0,0,none,,success,
102,NVDA,2023-02-25,True,101,2,5,31,65,166,0,166,0,primary_only,k:c9d1f74754 | k:0d29ae19ad | k:304163cac3 | k:607de5880a | k:8beebfb42b,success,
103,NFLX,2023-02-25,True,0,0,0,0,0,0,0,0,0,none,,success,
104,MSFT,2023-02-25,True,93,4,9,36,89,182,0,182,0,primary_only,k:f7f0a95d76 | k:4350a352d4 | k:d6cfc49fa5 | k:64331ebd86 | k:d212d560a8,success,
105,AMZN,2023-02-25,True,0,0,0,0,0,0,0,0,0,none,,success,
106,GOOGL,2023-02-25,True,0,0,0,0,0,0,0,0,0,none,,success,
107,TSLA,2023-01-26,True,133,40,76,85,162,295,0,295,0,primary_only,k:f8aaf3102b | k:9c2078ea24 | k:90bd80e9dc | k:56c1235503 | k:e412bdab50,success,
108,TSLA,2023-01-26,True,133,40,76,85,162,295,0,295,0,primary_only,k:f8aaf3102b | k:9c2078ea24 | k:90bd80e9dc | k:56c1235503 | k:e412bdab50,success,
109,NVDA,2025-08-07,True,0,0,0,0,0,0,0,0,0,none,,success,
110,TSLA,2024-01-25,True,0,0,0,0,0,0,0,0,0,none,,success,
111,AMZN,2026-02-18,True,0,0,0,0,0,0,0,0,0,none,,success,
112,META,2026-02-18,True,0,0,0,0,0,0,0,0,0,none,,success,
113,MSFT,2024-08-02,True,0,0,0,0,0,0,0,0,0,none,,success,
114,NVDA,2025-07-16,True,0,0,0,0,0,0,0,0,0,none,,success,
115,NVDA,2025-07-16,True,0,0,0,0,0,0,0,0,0,none,,success,
116,AMD,2025-07-16,True,0,0,0,0,0,0,0,0,0,none,,success,
117,NVDA,2024-02-08,True,0,0,0,0,0,0,0,0,0,none,,success,
118,GOOGL,2024-02-08,True,0,0,0,0,0,0,0,0,0,none,,success,
119,AMD,2023-01-26,True,40,7,17,18,78,118,0,118,0,primary_only,k:29abfb8838 | k:86a1f6b65b | k:9995372d2a | k:8cf3265049 | k:021ee634a8,success,
120,TSLA,2023-07-05,True,127,33,57,91,161,288,0,288,0,primary_only,k:1b73141c9d | k:0c51cda1b3 | k:f4d60800d0 | k:a133d45cea | k:ccd7fb2121,success,
121,GOOGL,2023-07-05,True,0,0,0,0,0,0,0,0,0,none,,success,
122,MSFT,2023-07-07,True,86,22,26,41,183,269,0,269,0,primary_only,k:6fb708ceb1 | k:39b9fc7e7d | k:6dd864459e | k:1794736166 | k:d482272bad,success,
123,AAPL,2023-07-07,True,127,19,25,46,119,246,0,246,0,primary_only,k:1f0bdc3761 | k:ab36b86055 | k:298397b4ca | k:cd2b6cdb1c | k:d02d578c48,success,
124,AMZN,2023-07-07,True,97,17,22,43,152,249,0,249,0,primary_only,k:f77f9029c4 | k:3710244f73 | k:92b9ee044c | k:cd2b6cdb1c | k:8ec2b5c34f,success,
125,GOOGL,2023-07-07,True,0,0,0,0,0,0,0,0,0,none,,success,
126,GOOGL,2025-08-19,True,0,0,0,0,0,0,0,0,0,none,,success,
127,NVDA,2025-08-28,True,0,0,0,0,0,0,0,0,0,none,,success,
128,GOOGL,2025-08-28,True,0,0,0,0,0,0,0,0,0,none,,success,
129,GOOGL,2025-09-04,True,0,0,0,0,0,0,0,0,0,none,,success,
130,AAPL,2023-03-31,True,98,23,26,51,129,227,0,227,0,primary_only,k:27b16b4109 | k:af510325a7 | k:97367548c7 | k:1c70a2db2e | k:3b3a252279,success,
131,AMZN,2023-02-02,True,0,0,0,0,0,0,0,0,0,none,,success,
132,PYPL,2025-09-03,True,0,0,0,0,0,0,0,0,0,none,,success,
133,AAPL,2025-09-03,True,0,0,0,0,0,0,0,0,0,none,,success,
134,TSLA,2023-11-06,True,117,21,32,63,112,229,0,229,0,primary_only,k:759bac563d | k:930d609a69 | k:5108b357b2 | k:8f18f37a71 | k:3752784c85,success,
135,NVDA,2025-07-16,True,0,0,0,0,0,0,0,0,0,none,,success,
136,AMD,2026-02-22,True,0,0,0,0,0,0,0,0,0,none,,success,
137,AMD,2026-02-22,True,0,0,0,0,0,0,0,0,0,none,,success,
138,PYPL,2025-08-19,True,0,0,0,0,0,0,0,0,0,none,,success,
139,PYPL,2025-08-19,True,0,0,0,0,0,0,0,0,0,none,,success,
140,SOFI,2025-08-19,True,0,0,0,0,0,0,0,0,0,none,,success,
141,GOOGL,2025-08-19,True,0,0,0,0,0,0,0,0,0,none,,success,
142,AAPL,2023-09-22,True,132,24,27,50,158,290,0,290,0,primary_only,k:8e24d8e7b6 | k:78c791ac6e | k:11cffbeb20 | k:1be1c2a174 | k:fb3040b2a2,success,
143,AMZN,2023-09-22,True,158,27,34,78,223,381,0,381,0,primary_only,k:d5caad36dd | k:fb3040b2a2 | k:1be1c2a174 | k:90e7367ab7 | k:5ff1929453,success,
144,GOOGL,2023-09-22,True,0,0,0,0,0,0,0,0,0,none,,success,
145,TSLA,2023-09-22,True,114,18,19,44,134,248,0,248,0,primary_only,k:9a29c64e3d | k:028a4fe47b | k:2a20405746 | k:fb3040b2a2 | k:df9f589ae4,success,
146,TSLA,2023-09-22,True,114,18,19,44,134,248,0,248,0,primary_only,k:9a29c64e3d | k:028a4fe47b | k:2a20405746 | k:fb3040b2a2 | k:df9f589ae4,success,
147,NVDA,2023-02-17,True,54,11,12,24,112,166,0,166,0,primary_only,k:01dd7e01c5 | k:6e81e34d67 | k:a98662fe7b | k:81ff77df96 | k:242dc5dfdd,success,
148,AMD,2026-02-25,True,0,0,0,0,0,0,0,0,0,none,,success,
149,NVDA,2026-03-12,True,0,0,0,0,0,0,0,0,0,none,,success,
150,AMD,2025-08-14,True,0,0,0,0,0,0,0,0,0,none,,success,
151,NVDA,2025-08-22,True,0,0,0,0,0,0,0,0,0,none,,success,
152,MSFT,2024-08-12,True,0,0,0,0,0,0,0,0,0,none,,success,
153,MSFT,2024-08-12,True,0,0,0,0,0,0,0,0,0,none,,success,
154,MSFT,2024-08-12,True,0,0,0,0,0,0,0,0,0,none,,success,
155,MSFT,2024-08-12,True,0,0,0,0,0,0,0,0,0,none,,success,
156,MSFT,2024-08-12,True,0,0,0,0,0,0,0,0,0,none,,success,
157,MSFT,2024-08-12,True,0,0,0,0,0,0,0,0,0,none,,success,
158,TSLA,2025-09-15,True,0,0,0,0,0,0,0,0,0,none,,success,
159,TSLA,2025-09-15,True,0,0,0,0,0,0,0,0,0,none,,success,
160,NVDA,2025-09-15,True,0,0,0,0,0,0,0,0,0,none,,success,
161,NVDA,2025-09-15,True,0,0,0,0,0,0,0,0,0,none,,success,
162,AMD,2025-08-05,True,0,0,0,0,0,0,0,0,0,none,,success,
163,GOOGL,2025-08-05,True,0,0,0,0,0,0,0,0,0,none,,success,
164,AMZN,2025-08-05,True,0,0,0,0,0,0,0,0,0,none,,success,
165,MSFT,2026-03-09,True,0,0,0,0,0,0,0,0,0,none,,success,
166,MSFT,2026-03-09,True,0,0,0,0,0,0,0,0,0,none,,success,
167,AMZN,2024-01-05,True,0,0,0,0,0,0,0,0,0,none,,success,
168,MSFT,2024-09-20,True,0,0,0,0,0,0,0,0,0,none,,success,
169,NVDA,2023-12-15,True,131,5,26,26,26,157,0,157,0,primary_only,k:ebb369c104 | k:9ed11d230e | k:72d86b90d0 | k:b0dbbc1d0c | k:d15b6f7b7a,success,
170,TSLA,2023-08-04,True,112,9,14,36,102,214,0,214,0,primary_only,k:a5bb050980 | k:832752d216 | k:95c5ab5ad2 | k:0fbb47f03a | k:7829fc8095,success,
171,NVDA,2023-08-04,True,126,20,26,48,156,282,0,282,0,primary_only,k:7829fc8095 | k:18da401360 | k:f7d7cb682f | k:9732eb49fe | k:0fbb47f03a,success,
172,AMD,2025-08-05,True,0,0,0,0,0,0,0,0,0,none,,success,
173,AMD,2025-08-05,True,0,0,0,0,0,0,0,0,0,none,,success,
174,GOOGL,2025-08-05,True,0,0,0,0,0,0,0,0,0,none,,success,
175,AMZN,2025-08-05,True,0,0,0,0,0,0,0,0,0,none,,success,
176,UBER,2026-03-03,True,0,0,0,0,0,0,0,0,0,none,,success,
177,MSFT,2023-01-25,True,151,49,73,91,149,300,0,300,0,primary_only,k:7aa8b86ab4 | k:2067febaa8 | k:be8d6d4bb9 | k:f668ca382a | k:4a9e4c90da,success,
178,NVDA,2025-07-19,True,0,0,0,0,0,0,0,0,0,none,,success,
179,AMD,2025-08-05,True,0,0,0,0,0,0,0,0,0,none,,success,
180,AMD,2025-08-05,True,0,0,0,0,0,0,0,0,0,none,,success,
181,NVDA,2025-08-17,True,0,0,0,0,0,0,0,0,0,none,,success,
182,SHOP,2023-08-18,True,0,0,0,0,0,0,0,0,0,none,,success,
183,NVDA,2023-08-18,True,147,30,35,90,353,500,0,500,0,primary_only,k:99b7c3fa03 | k:d7826346fa | k:2a6e439b7f | k:bcbea5d2ad | k:eb51168456,success,
184,GOOGL,2023-08-18,True,0,0,0,0,0,0,0,0,0,none,,success,
185,MSFT,2023-08-18,True,90,16,19,34,138,228,0,228,0,primary_only,k:8addcf53d0 | k:aaaa5884b9 | k:120a793304 | k:0032891849 | k:d6abd43e48,success,
186,DIS,2023-02-08,True,45,21,50,56,81,126,0,126,0,primary_only,k:45b7b657dd | k:57f4971d87 | k:763475dd02 | k:7206954ebf | k:6c84049917,success,
187,NVDA,2025-07-25,True,0,0,0,0,0,0,0,0,0,none,,success,
188,AMZN,2023-04-27,True,160,42,88,100,179,339,0,339,0,primary_only,k:f44a08885f | k:22e7e66702 | k:c1c41dfcaf | k:d15bb05fb7 | k:1be81adc25,success,
189,NVDA,2025-07-16,True,0,0,0,0,0,0,0,0,0,none,,success,
190,MSFT,2026-03-10,True,0,0,0,0,0,0,0,0,0,none,,success,
191,MSFT,2026-03-10,True,0,0,0,0,0,0,0,0,0,none,,success,
192,MSFT,2023-09-25,True,108,21,50,100,155,263,0,263,0,primary_only,k:682e0feabb | k:c83d2a1611 | k:0473bc6151 | k:9852e7d59b | k:0822cf6f5d,success,
193,AMD,2025-08-10,True,0,0,0,0,0,0,0,0,0,none,,success,
194,NVDA,2025-08-10,True,0,0,0,0,0,0,0,0,0,none,,success,
195,PYPL,2025-08-18,True,0,0,0,0,0,0,0,0,0,none,,success,
196,SOFI,2025-08-18,True,0,0,0,0,0,0,0,0,0,none,,success,
197,GOOGL,2025-08-18,True,0,0,0,0,0,0,0,0,0,none,,success,
198,AMD,2025-08-11,True,0,0,0,0,0,0,0,0,0,none,,success,
199,AMD,2025-08-11,True,0,0,0,0,0,0,0,0,0,none,,success,
200,AMD,2025-08-11,True,0,0,0,0,0,0,0,0,0,none,,success,
201,AMD,2025-08-11,True,0,0,0,0,0,0,0,0,0,none,,success,
202,NVDA,2025-08-11,True,0,0,0,0,0,0,0,0,0,none,,success,
203,NVDA,2025-08-11,True,0,0,0,0,0,0,0,0,0,none,,success,
204,UBER,2026-03-19,True,0,0,0,0,0,0,0,0,0,none,,success,
205,UBER,2026-03-19,True,0,0,0,0,0,0,0,0,0,none,,success,
206,AAPL,2024-01-18,True,0,0,0,0,0,0,0,0,0,none,,success,
207,AAPL,2024-01-18,True,0,0,0,0,0,0,0,0,0,none,,success,
208,NVDA,2024-01-18,True,0,0,0,0,0,0,0,0,0,none,,success,
209,GOOGL,2024-01-18,True,0,0,0,0,0,0,0,0,0,none,,success,
210,PYPL,2023-08-06,True,64,1,8,18,29,93,0,93,0,primary_only,k:ee4ee4c801 | k:5fc21efd43 | k:16ab0183e6 | k:2dcb821e5c | k:5432b9a7bb,success,
211,AMD,2026-02-09,True,0,0,0,0,0,0,0,0,0,none,,success,
212,AMD,2026-02-09,True,0,0,0,0,0,0,0,0,0,none,,success,
213,AMD,2026-02-09,True,0,0,0,0,0,0,0,0,0,none,,success,
214,NVDA,2026-02-09,True,0,0,0,0,0,0,0,0,0,none,,success,
215,NVDA,2025-08-11,True,0,0,0,0,0,0,0,0,0,none,,success,
216,TSLA,2023-04-19,True,122,41,102,137,193,315,0,315,0,primary_only,k:fe257de9c3 | k:5e51914f8c | k:a8886faf75 | k:409d008c59 | k:6c649e7be1,success,
217,NVDA,2023-04-19,True,80,8,21,37,84,164,0,164,0,primary_only,k:0c61b55e1c | k:208223803b | k:94fa210167 | k:a01ba03fbc | k:a88db594f4,success,
218,PYPL,2025-08-24,True,0,0,0,0,0,0,0,0,0,none,,success,
219,NFLX,2023-03-24,True,0,0,0,0,0,0,0,0,0,none,,success,
220,AAPL,2023-04-28,True,100,12,17,43,174,274,0,274,0,primary_only,k:382d8fa2f6 | k:c0ddaf0164 | k:e1f9dfe8c2 | k:9e51836c58 | k:974d15d32a,success,
221,AAPL,2023-04-28,True,100,12,17,43,174,274,0,274,0,primary_only,k:382d8fa2f6 | k:c0ddaf0164 | k:e1f9dfe8c2 | k:9e51836c58 | k:974d15d32a,success,
222,AMZN,2023-04-28,True,181,46,54,77,158,339,0,339,0,primary_only,k:9fade62975 | k:a32a8ecb7c | k:db6f17dbe4 | k:bd625f2379 | k:d8a1ffa982,success,
223,TSLA,2023-04-28,True,109,12,18,35,92,201,0,201,0,primary_only,k:9df5ee13e5 | k:bd625f2379 | k:ab54c31926 | k:382d8fa2f6 | k:308bd51dde,success,
224,GOOGL,2025-08-31,True,0,0,0,0,0,0,0,0,0,none,,success,
225,AAPL,2023-04-07,True,127,2,8,37,110,237,0,237,0,primary_only,k:486612cb4b | k:7dd09c54e7 | k:35d52763a3 | k:36194c4684 | k:aa9d2fb566,success,
226,NVDA,2025-08-27,True,0,0,0,0,0,0,0,0,0,none,,success,
227,NVDA,2025-08-27,True,0,0,0,0,0,0,0,0,0,none,,success,
228,NVDA,2023-07-14,True,115,26,31,52,136,251,0,251,0,primary_only,k:e09f37c102 | k:4b76f41652 | k:70f399e84a | k:a614d12cc7 | k:e7afcad96b,success,
