creator_or_source_name,youtube_channel_id,youtube_channel_url,candidate_x_handle,candidate_x_url,verification_status,verification_source,source_type,confidence,reason,notes
Graham Stephan,UCV6KDgJskWaEckne5aPA0aQ,https://www.youtube.com/channel/UCV6KDgJskWaEckne5aPA0aQ,GrahamStephan,https://x.com/GrahamStephan,likely,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.82,Exact public-brand handle match; still treated as likely rather than verified absent a fresh official cross-link audit.,youtube_videos_in_db=250
Meet Kevin,UCUvvj5lwue7PspotMDjk5UA,https://www.youtube.com/channel/UCUvvj5lwue7PspotMDjk5UA,realMeetKevin,https://x.com/realMeetKevin,likely,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.82,Exact public-brand handle match; still treated as likely rather than verified absent a fresh official cross-link audit.,youtube_videos_in_db=250
Everything Money,UChBVf9YnourrEDTsbbwJPRA,https://www.youtube.com/channel/UChBVf9YnourrEDTsbbwJPRA,EverythingMoney,https://x.com/EverythingMoney,likely,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.82,Exact public-brand handle match; still treated as likely rather than verified absent a fresh official cross-link audit.,youtube_videos_in_db=250
Dumb Money Live,UCS01CiRDAiyhR_mTHXDW23A,https://www.youtube.com/channel/UCS01CiRDAiyhR_mTHXDW23A,DumbMoneyLive,https://x.com/DumbMoneyLive,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
The Plain Bagel,UCFCEuCsyWP0YkP3CZ3Mr01Q,https://www.youtube.com/channel/UCFCEuCsyWP0YkP3CZ3Mr01Q,ThePlainBagel,https://x.com/ThePlainBagel,likely,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.82,Exact public-brand handle match; still treated as likely rather than verified absent a fresh official cross-link audit.,youtube_videos_in_db=250
Daniel Pronk,UCL-F-8nxFtFZ4M3RWkGn6Qw,https://www.youtube.com/channel/UCL-F-8nxFtFZ4M3RWkGn6Qw,daniel_pronk,https://x.com/daniel_pronk,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=304
Mark Roussin CPA,,,MarkRoussin,https://x.com/MarkRoussin,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=0
Parkev Tatevosian CFA,,,ParkevT,https://x.com/ParkevT,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=0
Stock Moe,UCoMzWLaPjDJBbipihD694pQ,https://www.youtube.com/channel/UCoMzWLaPjDJBbipihD694pQ,StockMoe,https://x.com/StockMoe,likely,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.82,Exact public-brand handle match; still treated as likely rather than verified absent a fresh official cross-link audit.,youtube_videos_in_db=250
New Money,UCvSXMi2LebwJEM1s4bz5IBA,https://www.youtube.com/channel/UCvSXMi2LebwJEM1s4bz5IBA,NewMoneyYouTube,https://x.com/NewMoneyYouTube,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
Ale's World of Stocks,UCXhrqxFZbG-k8l7v-XhX3ZQ,https://www.youtube.com/channel/UCXhrqxFZbG-k8l7v-XhX3ZQ,AlesWorldStocks,https://x.com/AlesWorldStocks,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
Investing with Tom,UCG9FGwgAx9-RKq1smF1lc8w,https://www.youtube.com/channel/UCG9FGwgAx9-RKq1smF1lc8w,InvestingwithTom,https://x.com/InvestingwithTom,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=500
Value Investing with Sven Carlin,,,SvenCarlin,https://x.com/SvenCarlin,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=0
Kenan Grace,UCfbqdAYRKCKS3okHg8VhpIQ,https://www.youtube.com/channel/UCfbqdAYRKCKS3okHg8VhpIQ,KenanGrace,https://x.com/KenanGrace,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
Couch Investor,UCrGLm-Drgv0vbbemwwHeXJw,https://www.youtube.com/channel/UCrGLm-Drgv0vbbemwwHeXJw,Couch_Investor,https://x.com/Couch_Investor,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=500
Dividendology,UCgCh-2AfEBtWrNBC2OoNQYg,https://www.youtube.com/channel/UCgCh-2AfEBtWrNBC2OoNQYg,Dividendology,https://x.com/Dividendology,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=500
Dividend Bull,UCLxMEPUoHpKq4PEk85RZn9A,https://www.youtube.com/channel/UCLxMEPUoHpKq4PEk85RZn9A,DividendBull,https://x.com/DividendBull,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=455
The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,https://www.youtube.com/channel/UC7r4-nZ4icT8SIcnisXFSHQ,TheInvestorChannel,https://x.com/TheInvestorChannel,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=500
Learn to Invest - Investors Grow,UCSglJMvX-zSgv3PEJIE_inw,https://www.youtube.com/channel/UCSglJMvX-zSgv3PEJIE_inw,InvestorsGrow,https://x.com/InvestorsGrow,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=500
STOCK UP! with LARRY JONES,UCZw2iqBZShBxWy8r1fwqP8A,https://www.youtube.com/channel/UCZw2iqBZShBxWy8r1fwqP8A,LarryJones,https://x.com/LarryJones,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=200
Chris Sain,UCrTFPf6rq5OUSWb7ILW9trg,https://www.youtube.com/channel/UCrTFPf6rq5OUSWb7ILW9trg,ChrisSain,https://x.com/ChrisSain,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
Best of Us Investors,UC-hq1OIl97y7h0DiJx45N3w,https://www.youtube.com/channel/UC-hq1OIl97y7h0DiJx45N3w,BestOfUsInvestors,https://x.com/BestOfUsInvestors,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
Minority Mindset,UCT3EznhW_CNFcfOlyDNTLLw,https://www.youtube.com/channel/UCT3EznhW_CNFcfOlyDNTLLw,MinorityMindset,https://x.com/MinorityMindset,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
The Swedish Investor,UCAeAB8ABXGoGMbXuYPmiu2A,https://www.youtube.com/channel/UCAeAB8ABXGoGMbXuYPmiu2A,SwedishInvestor,https://x.com/SwedishInvestor,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=156
TheRoaringKitty,,,TheRoaringKitty,https://x.com/TheRoaringKitty,likely,Known public X-native finance/market-attention account seed; actor bakeoff will validate accessible public posts before scale.,x_native_stock_attention,0.86,High-salience public market account handle suitable for profile-source validation before spend.,Not human validation; public-post collection only.
unusual_whales,,,unusual_whales,https://x.com/unusual_whales,likely,Known public X-native finance/market-attention account seed; actor bakeoff will validate accessible public posts before scale.,x_native_stock_attention,0.86,High-salience public market account handle suitable for profile-source validation before spend.,Not human validation; public-post collection only.
StockMKTNewz,,,StockMKTNewz,https://x.com/StockMKTNewz,likely,Known public X-native finance/market-attention account seed; actor bakeoff will validate accessible public posts before scale.,x_native_stock_attention,0.86,High-salience public market account handle suitable for profile-source validation before spend.,Not human validation; public-post collection only.
KobeissiLetter,,,KobeissiLetter,https://x.com/KobeissiLetter,likely,Known public X-native finance/market-attention account seed; actor bakeoff will validate accessible public posts before scale.,x_native_stock_attention,0.86,High-salience public market account handle suitable for profile-source validation before spend.,Not human validation; public-post collection only.
RampCapitalLLC,,,RampCapitalLLC,https://x.com/RampCapitalLLC,likely,Known public X-native finance/market-attention account seed; actor bakeoff will validate accessible public posts before scale.,x_native_stock_attention,0.86,High-salience public market account handle suitable for profile-source validation before spend.,Not human validation; public-post collection only.
zerohedge,,,zerohedge,https://x.com/zerohedge,likely,Known public X-native finance/market-attention account seed; actor bakeoff will validate accessible public posts before scale.,x_native_stock_attention,0.86,High-salience public market account handle suitable for profile-source validation before spend.,Not human validation; public-post collection only.
WallStreetSilv,,,WallStreetSilv,https://x.com/WallStreetSilv,likely,Known public X-native finance/market-attention account seed; actor bakeoff will validate accessible public posts before scale.,x_native_stock_attention,0.86,High-salience public market account handle suitable for profile-source validation before spend.,Not human validation; public-post collection only.
TicTocTick,,,TicTocTick,https://x.com/TicTocTick,likely,Known public X-native finance/market-attention account seed; actor bakeoff will validate accessible public posts before scale.,x_native_stock_attention,0.86,High-salience public market account handle suitable for profile-source validation before spend.,Not human validation; public-post collection only.
Mayhem4Markets,,,Mayhem4Markets,https://x.com/Mayhem4Markets,likely,Known public X-native finance/market-attention account seed; actor bakeoff will validate accessible public posts before scale.,x_native_stock_attention,0.86,High-salience public market account handle suitable for profile-source validation before spend.,Not human validation; public-post collection only.
DeItaone,,,DeItaone,https://x.com/DeItaone,likely,Known public X-native finance/market-attention account seed; actor bakeoff will validate accessible public posts before scale.,x_native_stock_attention,0.86,High-salience public market account handle suitable for profile-source validation before spend.,Not human validation; public-post collection only.
CNBC,,,CNBC,https://x.com/CNBC,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
Benzinga,,,Benzinga,https://x.com/Benzinga,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
Stocktwits,,,Stocktwits,https://x.com/Stocktwits,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
BreakoutStocks,,,BreakoutStocks,https://x.com/BreakoutStocks,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
bespokeinvest,,,bespokeinvest,https://x.com/bespokeinvest,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
WSJMarkets,,,WSJMarkets,https://x.com/WSJMarkets,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
Stephanie_Link,,,Stephanie_Link,https://x.com/Stephanie_Link,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
nytimesbusiness,,,nytimesbusiness,https://x.com/nytimesbusiness,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
IBDinvestors,,,IBDinvestors,https://x.com/IBDinvestors,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
WSJDealJournal,,,WSJDealJournal,https://x.com/WSJDealJournal,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
MarketWatch,,,MarketWatch,https://x.com/MarketWatch,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
Investingcom,,,Investingcom,https://x.com/Investingcom,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
YahooFinance,,,YahooFinance,https://x.com/YahooFinance,likely,Known public business-news/control account seed; actor bakeoff will validate accessible public posts before scale.,market_news_control,0.86,Market-news/control source for attention baseline rather than creator recommendation signal.,"Kept in market_control_accounts.txt, not creator profile file."
