specification,horizon,requested_horizon_days,n_events,n_full_window,n_right_censored,mean_raw_return,mean_spy_bhar,t_spy_bhar,p_spy_bhar,median_spy_bhar,win_rate_spy_bhar,mean_spy_car,t_spy_car,p_spy_car,notes
non_top,63D,63,960,777,183,0.018903,-0.027767,-4.904,0.000001,-0.031998,0.4021,-0.031925,-4.972,0.000001,right-censored rows retained and counted
non_top,126D,126,960,592,368,0.047710,-0.042674,-5.140,0.000000,-0.066795,0.4010,-0.057154,-5.891,0.000000,right-censored rows retained and counted
non_top,252D,252,960,442,518,0.117587,-0.033046,-2.911,0.003600,-0.083620,0.3698,-0.046875,-4.620,0.000004,right-censored rows retained and counted
non_top,504D,504,960,250,710,0.241690,-0.000886,-0.051,0.959163,-0.119327,0.3458,-0.049861,-3.619,0.000295,right-censored rows retained and counted
non_top,end_of_sample,,960,960,0,0.337793,0.019426,0.867,0.385961,-0.147461,0.3073,-0.066312,-3.904,0.000094,right-censored rows retained and counted
buy,1D,1,1808,1808,0,0.002121,0.001255,1.631,0.102800,-0.000566,0.4862,0.001255,1.631,0.102800,right-censored rows retained and counted
buy,2D,2,1808,1803,5,0.003794,0.002356,2.471,0.013477,-0.000926,0.4862,0.002356,2.501,0.012394,right-censored rows retained and counted
buy,3D,3,1808,1797,11,0.003817,0.001904,1.713,0.086726,-0.001143,0.4729,0.001904,1.740,0.081946,right-censored rows retained and counted
buy,5D,5,1808,1787,21,0.004635,0.001785,1.268,0.204642,-0.001687,0.4806,0.001653,1.185,0.235905,right-censored rows retained and counted
buy,10D,10,1808,1748,60,0.012329,0.005402,2.666,0.007681,-0.002693,0.4834,0.004595,2.181,0.029199,right-censored rows retained and counted
buy,21D,21,1808,1688,120,0.019761,0.006180,2.197,0.028031,-0.002172,0.4928,0.005095,1.795,0.072688,right-censored rows retained and counted
buy,42D,42,1808,1630,178,0.053241,0.023301,5.753,0.000000,-0.002438,0.4934,0.021163,5.743,0.000000,right-censored rows retained and counted
buy,63D,63,1808,1531,277,0.092438,0.045528,8.549,0.000000,0.006638,0.5160,0.040512,8.798,0.000000,right-censored rows retained and counted
buy,126D,126,1808,1234,574,0.179659,0.088600,11.124,0.000000,0.026710,0.5564,0.074359,11.418,0.000000,right-censored rows retained and counted
buy,252D,252,1808,957,851,0.325429,0.166941,14.998,0.000000,0.070183,0.6007,0.133812,16.195,0.000000,right-censored rows retained and counted
buy,504D,504,1808,552,1256,0.524399,0.262210,16.559,0.000000,0.083004,0.6045,0.189621,18.550,0.000000,right-censored rows retained and counted
buy,end_of_sample,,1808,1808,0,0.703101,0.350122,15.586,0.000000,0.086103,0.6095,0.217818,18.656,0.000000,right-censored rows retained and counted
sell,1D,1,514,514,0,-0.002524,-0.004520,-1.876,0.060611,0.002130,0.5603,-0.004520,-1.876,0.060611,right-censored rows retained and counted
sell,2D,2,514,513,1,-0.001926,-0.004224,-1.541,0.123306,0.002045,0.5233,-0.004217,-1.539,0.123905,right-censored rows retained and counted
sell,3D,3,514,512,2,-0.001210,-0.004835,-1.584,0.113206,0.001427,0.5136,-0.004989,-1.611,0.107202,right-censored rows retained and counted
sell,5D,5,514,512,2,0.002194,-0.003409,-1.144,0.252562,-0.000415,0.4961,-0.002584,-0.853,0.393838,right-censored rows retained and counted
sell,10D,10,514,503,11,-0.006618,-0.015232,-2.684,0.007281,-0.002531,0.4728,-0.021504,-2.911,0.003600,right-censored rows retained and counted
sell,21D,21,514,485,29,0.007104,-0.007404,-1.043,0.296817,0.000932,0.5039,-0.016880,-1.799,0.072073,right-censored rows retained and counted
sell,42D,42,514,471,43,0.056116,0.025377,2.754,0.005892,0.008755,0.5311,0.017708,1.874,0.060887,right-censored rows retained and counted
sell,63D,63,514,429,85,0.082873,0.033669,3.008,0.002627,0.014003,0.5389,0.023503,2.079,0.037661,right-censored rows retained and counted
sell,126D,126,514,358,156,0.166648,0.070348,4.498,0.000007,0.034266,0.5837,0.047437,2.927,0.003426,right-censored rows retained and counted
sell,252D,252,514,281,233,0.282821,0.124106,5.959,0.000000,0.058136,0.6051,0.106758,6.599,0.000000,right-censored rows retained and counted
sell,504D,504,514,169,345,0.495750,0.223700,7.762,0.000000,0.108892,0.6829,0.162893,7.501,0.000000,right-censored rows retained and counted
sell,end_of_sample,,514,514,0,0.690117,0.326535,7.985,0.000000,0.118470,0.7023,0.190197,6.889,0.000000,right-censored rows retained and counted
low_lookahead,1D,1,796,796,0,0.001260,0.000066,0.084,0.932807,-0.000636,0.4912,0.000066,0.084,0.932807,right-censored rows retained and counted
low_lookahead,2D,2,796,792,4,0.003848,0.001152,0.987,0.323504,-0.000454,0.4925,0.001103,0.949,0.342831,right-censored rows retained and counted
low_lookahead,3D,3,796,785,11,0.003827,0.000963,0.649,0.516569,-0.001775,0.4485,0.000864,0.590,0.555061,right-censored rows retained and counted
low_lookahead,5D,5,796,785,11,0.007416,0.001831,1.006,0.314575,-0.002456,0.4673,0.001849,1.031,0.302354,right-censored rows retained and counted
low_lookahead,10D,10,796,764,32,0.011506,0.003439,1.193,0.232703,-0.007389,0.4422,0.003055,1.098,0.272357,right-censored rows retained and counted
low_lookahead,21D,21,796,724,72,0.022164,0.006952,1.660,0.096989,-0.001110,0.4987,0.006474,1.663,0.096373,right-censored rows retained and counted
low_lookahead,42D,42,796,673,123,0.058758,0.025211,4.377,0.000012,-0.005434,0.4749,0.023805,4.576,0.000005,right-censored rows retained and counted
low_lookahead,63D,63,796,603,193,0.093378,0.044451,5.367,0.000000,-0.010755,0.4761,0.038173,5.567,0.000000,right-censored rows retained and counted
low_lookahead,126D,126,796,534,262,0.165661,0.078712,6.383,0.000000,0.021617,0.5352,0.064868,7.047,0.000000,right-censored rows retained and counted
low_lookahead,252D,252,796,380,416,0.294995,0.143227,8.543,0.000000,0.044718,0.5754,0.111290,9.340,0.000000,right-censored rows retained and counted
low_lookahead,504D,504,796,182,614,0.447393,0.209350,9.281,0.000000,0.048991,0.5766,0.150180,10.186,0.000000,right-censored rows retained and counted
low_lookahead,end_of_sample,,796,796,0,0.618656,0.294766,9.098,0.000000,0.041278,0.5691,0.185689,10.867,0.000000,right-censored rows retained and counted
duplicate_collapsed,1D,1,1693,1693,0,0.002153,0.001147,1.551,0.120814,0.000282,0.5050,0.001147,1.551,0.120814,right-censored rows retained and counted
duplicate_collapsed,2D,2,1693,1689,4,0.003215,0.001600,1.700,0.089133,-0.000101,0.4973,0.001585,1.673,0.094412,right-censored rows retained and counted
duplicate_collapsed,3D,3,1693,1684,9,0.003498,0.001239,1.095,0.273590,-0.000782,0.4820,0.001170,1.026,0.305101,right-censored rows retained and counted
duplicate_collapsed,5D,5,1693,1678,15,0.005382,0.001660,1.209,0.226720,-0.001179,0.4849,0.001575,1.132,0.257650,right-censored rows retained and counted
duplicate_collapsed,10D,10,1693,1639,54,0.013869,0.005922,2.949,0.003190,-0.001296,0.4914,0.005344,2.580,0.009885,right-censored rows retained and counted
duplicate_collapsed,21D,21,1693,1582,111,0.024089,0.010139,3.576,0.000349,0.001310,0.5080,0.009059,3.228,0.001247,right-censored rows retained and counted
duplicate_collapsed,42D,42,1693,1523,170,0.058483,0.028000,6.752,0.000000,0.003899,0.5097,0.025270,6.742,0.000000,right-censored rows retained and counted
duplicate_collapsed,63D,63,1693,1420,273,0.094177,0.045971,8.654,0.000000,0.013533,0.5363,0.041242,8.924,0.000000,right-censored rows retained and counted
duplicate_collapsed,126D,126,1693,1150,543,0.174637,0.082225,10.264,0.000000,0.032804,0.5682,0.068693,10.515,0.000000,right-censored rows retained and counted
duplicate_collapsed,252D,252,1693,873,820,0.306780,0.147877,12.991,0.000000,0.056951,0.5895,0.117075,14.132,0.000000,right-censored rows retained and counted
duplicate_collapsed,504D,504,1693,495,1198,0.499856,0.241992,14.800,0.000000,0.076015,0.6090,0.170660,16.580,0.000000,right-censored rows retained and counted
duplicate_collapsed,end_of_sample,,1693,1693,0,0.689686,0.343807,14.351,0.000000,0.083417,0.6102,0.202599,16.940,0.000000,right-censored rows retained and counted
SEC_clean,1D,1,1328,1328,0,0.002545,0.000991,1.714,0.086593,0.000160,0.5090,0.000991,1.714,0.086593,right-censored rows retained and counted
SEC_clean,2D,2,1328,1325,3,0.005705,0.003596,4.367,0.000013,0.000559,0.5090,0.003583,4.376,0.000012,right-censored rows retained and counted
SEC_clean,3D,3,1328,1324,4,0.005897,0.003391,3.200,0.001374,0.000393,0.5045,0.003306,3.147,0.001652,right-censored rows retained and counted
SEC_clean,5D,5,1328,1323,5,0.007141,0.004055,2.771,0.005588,0.000421,0.5098,0.003779,2.575,0.010022,right-censored rows retained and counted
SEC_clean,10D,10,1328,1319,9,0.013584,0.006992,3.162,0.001565,-0.001644,0.4902,0.006532,3.033,0.002418,right-censored rows retained and counted
SEC_clean,21D,21,1328,1287,41,0.022795,0.009176,2.779,0.005451,0.002435,0.5226,0.008567,2.810,0.004948,right-censored rows retained and counted
SEC_clean,42D,42,1328,1240,88,0.059176,0.027363,5.601,0.000000,0.004293,0.5166,0.024935,5.809,0.000000,right-censored rows retained and counted
SEC_clean,63D,63,1328,1161,167,0.083748,0.036275,6.375,0.000000,0.009873,0.5248,0.034613,7.025,0.000000,right-censored rows retained and counted
SEC_clean,126D,126,1328,945,383,0.172413,0.078248,8.783,0.000000,0.021617,0.5444,0.068549,9.759,0.000000,right-censored rows retained and counted
SEC_clean,252D,252,1328,730,598,0.320270,0.153658,12.584,0.000000,0.076237,0.6152,0.128011,14.139,0.000000,right-censored rows retained and counted
SEC_clean,504D,504,1328,414,914,0.514876,0.245064,14.347,0.000000,0.083004,0.6273,0.184815,16.321,0.000000,right-censored rows retained and counted
SEC_clean,end_of_sample,,1328,1328,0,0.708966,0.340605,14.609,0.000000,0.101430,0.6401,0.224067,17.609,0.000000,right-censored rows retained and counted
SEC_confounded,1D,1,994,994,0,-0.000848,-0.001379,-0.807,0.419910,-0.000571,0.4940,-0.001379,-0.807,0.419910,right-censored rows retained and counted
SEC_confounded,2D,2,994,991,3,-0.001716,-0.002704,-1.387,0.165369,-0.001986,0.4748,-0.002681,-1.386,0.165846,right-censored rows retained and counted
SEC_confounded,3D,3,994,985,9,-0.001562,-0.003567,-1.669,0.095094,-0.004088,0.4517,-0.003533,-1.656,0.097704,right-censored rows retained and counted
SEC_confounded,5D,5,994,976,18,0.000024,-0.003935,-1.747,0.080673,-0.005534,0.4497,-0.003377,-1.506,0.131961,right-censored rows retained and counted
SEC_confounded,10D,10,994,932,62,0.000853,-0.007392,-2.010,0.044418,-0.004031,0.4688,-0.011489,-2.502,0.012339,right-censored rows retained and counted
SEC_confounded,21D,21,994,886,108,0.009162,-0.004848,-1.080,0.280032,-0.013313,0.4588,-0.010908,-1.882,0.059824,right-censored rows retained and counted
SEC_confounded,42D,42,994,861,133,0.046800,0.018947,3.234,0.001221,-0.006411,0.4819,0.014338,2.395,0.016619,right-censored rows retained and counted
SEC_confounded,63D,63,994,799,195,0.099101,0.051757,6.210,0.000000,0.009349,0.5161,0.039598,5.066,0.000000,right-censored rows retained and counted
SEC_confounded,126D,126,994,647,347,0.182612,0.092993,8.045,0.000000,0.045660,0.5865,0.068200,6.155,0.000000,right-censored rows retained and counted
SEC_confounded,252D,252,994,508,486,0.310289,0.162537,10.071,0.000000,0.047629,0.5835,0.127572,10.422,0.000000,right-censored rows retained and counted
SEC_confounded,504D,504,994,307,687,0.522307,0.265203,11.505,0.000000,0.089916,0.6147,0.182220,11.684,0.000000,right-censored rows retained and counted
SEC_confounded,end_of_sample,,994,994,0,0.688552,0.350639,10.355,0.000000,0.088528,0.6167,0.195186,10.209,0.000000,right-censored rows retained and counted
