queue_rank,video_id,title,channel_title,published_at,year,creator_type,current_transcript_status,previous_failure_status,priority_reason,recommended_batch
49,zCP9qQcivK8,Rivian is working on an E-Bike 🚲💫,HyperChange,2023-12-27T02:16:08Z,2023,unknown,missing,,older_year:2023,batch_2
50,r2ThcnfAIAs,Did Starlink Just Hit A $100B Valuation? 📡💸,HyperChange,2023-12-22T06:16:18Z,2023,unknown,missing,,older_year:2023,batch_2
51,sSrfO6Ux8FY,I’m Done Buying Stocks,Joseph Carlson,2023-09-01T19:10:37Z,2023,unknown,missing,,older_year:2023,batch_3
52,t9xmrNY7kcM,The Next Nvidia Stock? ARM IPO Overview (ARM Stock),Ticker Symbol: YOU,2023-08-25T15:03:48Z,2023,unknown,missing,,older_year:2023,batch_3
53,TEphC2SHIb0,I Review The Best Stocks In The Market,Joseph Carlson,2023-08-21T19:29:59Z,2023,unknown,missing,,older_year:2023,batch_3
54,s-pInYFNytY,I'm Investing in Google's HUGE Robotics Breakthrough,Ticker Symbol: YOU,2023-08-13T16:18:51Z,2023,unknown,missing,,older_year:2023,batch_3
55,NRkjZ6qYVjY,These Two Investors Keep Beating The Market,Joseph Carlson,2023-08-11T19:24:13Z,2023,unknown,missing,,older_year:2023,batch_3
56,VEyEzitj8ek,IT'S OVER! ARK Invest Sold Nvidia for THESE AI Stocks,Ticker Symbol: YOU,2023-07-31T15:04:03Z,2023,unknown,missing,,older_year:2023,batch_3
57,rShdIJTUaWo,I Just Bought 3 Stocks,Joseph Carlson,2023-07-28T19:09:12Z,2023,unknown,missing,,older_year:2023,batch_3
58,iXqXOddmRp8,Top 3 Chip Stocks I'm Buying Now (Over Nvidia Stock),Ticker Symbol: YOU,2023-07-23T16:02:47Z,2023,unknown,missing,,older_year:2023,batch_3
59,k7IVjqZ07kA,Microsoft Buying Activision Blizzard Changes Gaming Forever,Ticker Symbol: YOU,2023-07-16T16:47:49Z,2023,unknown,missing,,older_year:2023,batch_3
60,x_s6B9kMbfc,3 Stocks I'm Buying Today | Joseph Carlson Ep. 330,Joseph Carlson,2023-07-03T20:48:58Z,2023,unknown,missing,,older_year:2023,batch_3
61,Rnr-IEeVq4I,The Biggest Stock Market Crash EVER Is Coming,Sasha Yanshin,2023-05-11T18:11:19Z,2023,unknown,missing,,older_year:2023,batch_3
62,VvlHcwjVJo0,The Stock Market Is About To Explode,Sasha Yanshin,2023-05-10T16:17:06Z,2023,unknown,missing,,older_year:2023,batch_3
63,fb_Ep9N2b3k,Charlie Munger: Investing During the 2023 Recession,New Money,2023-04-25T15:30:15Z,2023,unknown,missing,,older_year:2023,batch_3
64,lYltAjSAk2Y,Tesla Stock Is F*cked (Q1 Earnings),Sasha Yanshin,2023-04-20T13:12:26Z,2023,unknown,missing,,older_year:2023,batch_3
65,SRdUtwpyxMY,The Stock Market Is About To Explode,Sasha Yanshin,2023-04-12T15:46:38Z,2023,unknown,missing,,older_year:2023,batch_3
66,_1ZjhVSOR10,What Happens To Your Investments If Your Broker Collapses?,Sasha Yanshin,2023-03-20T18:36:53Z,2023,unknown,missing,,older_year:2023,batch_3
67,PU7Sv9RCxmI,Investing During an Economic Crisis (The Guy Spier Interview),New Money,2023-03-18T15:00:15Z,2023,unknown,missing,,older_year:2023,batch_3
68,NBtCpvb9c0U,Warren Buffett: 3 Powerful Lessons for Investors,New Money,2023-03-12T15:00:12Z,2023,unknown,missing,,older_year:2023,batch_3
69,DBGmU9IQW-k,Michael Burry BUYS Alibaba Stock,New Money,2023-02-20T16:00:08Z,2023,unknown,missing,,older_year:2023,batch_3
70,Shuu4f_5YMY,How to Calculate the Intrinsic Value of a Stock (Full Example),New Money,2023-02-10T15:42:05Z,2023,unknown,missing,,older_year:2023,batch_3
71,ShMP5aMYFfk,THIS IS ALARMING... [just happened],ZipTrader,2023-11-28T23:20:40Z,2023,unknown,missing,,older_year:2023,batch_3
72,MGOo06xzCeU,Waymo vs Tesla Self-Drive Test w/ Whole Mars,HyperChange,2023-11-21T04:45:31Z,2023,unknown,missing,,older_year:2023,batch_3
73,hFo7wo2cmBY,UNTHINKABLE IS HAPPENING!,ZipTrader,2023-11-19T23:00:21Z,2023,unknown,missing,,older_year:2023,batch_3
74,-hhpFtTmga0,THIS IS HORRIFYING....,ZipTrader,2023-11-09T22:37:33Z,2023,unknown,missing,,older_year:2023,batch_3
75,_EP-Zk3QpZ4,HOURS AGO THIS HAPPENED....,ZipTrader,2023-11-08T00:57:12Z,2023,unknown,missing,,older_year:2023,batch_3
76,cEwYL00-by8,Top AI Stocks to Buy Now (Even Over Nvidia Stock!),Ticker Symbol: YOU,2023-06-29T15:32:16Z,2023,unknown,missing,,older_year:2023,batch_4
77,LEcBN75Z46U,I Valued Every Stock I Own | Ep. 327,Joseph Carlson,2023-06-22T17:45:17Z,2023,unknown,missing,,older_year:2023,batch_4
78,mQS1tCQUiAM,How To Build A Monster Dividend Portfolio | Ep. 325,Joseph Carlson,2023-06-09T18:43:03Z,2023,unknown,missing,,older_year:2023,batch_4
79,TWo9BtPL3Mk,History Repeats Itself! Top AI Stocks to Buy Now,Ticker Symbol: YOU,2023-06-08T15:07:23Z,2023,unknown,missing,,older_year:2023,batch_4
80,yrzRIZtGWvY,The Best Unknown Investor Alive,Joseph Carlson,2023-05-30T18:14:22Z,2023,unknown,missing,,older_year:2023,batch_4
81,jraCU6kiAuU,NVIDIA WORTH TRILLIONS! Too Late to Buy NVDA Stock?,Ticker Symbol: YOU,2023-05-28T18:03:38Z,2023,unknown,missing,,older_year:2023,batch_4
82,lP2yzEsKx3Q,"I Just Bought $20,000 Of This Stock",Joseph Carlson,2023-05-19T18:48:01Z,2023,unknown,missing,,older_year:2023,batch_4
83,jZfRtDohmqw,I'm Buying More Of This Stock Now,Joseph Carlson,2023-05-04T23:35:37Z,2023,unknown,missing,,older_year:2023,batch_4
84,5uM39lEwYYg,Finding the Best Stocks with ChatGPT (Easy Shortcut),Ticker Symbol: YOU,2023-04-23T15:24:01Z,2023,unknown,missing,,older_year:2023,batch_4
85,fFcPcHfXDwY,Top 4 High Growth ETFs to Buy in 2023 (Best AI Stocks),Ticker Symbol: YOU,2023-03-30T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_4
86,TcXlp8y4Pt8,The Stock Market Is About To Go Bonkers,Sasha Yanshin,2023-03-14T16:51:57Z,2023,unknown,missing,,older_year:2023,batch_4
87,GAtbRlVKdAE,F*ck The Stock Market Crash (URGENT WARNING),Sasha Yanshin,2023-03-08T18:36:43Z,2023,unknown,missing,,older_year:2023,batch_4
88,yAESR73TXN4,Best Stocks and Shares ISA 2023,Sasha Yanshin,2023-03-07T18:09:24Z,2023,unknown,missing,,older_year:2023,batch_4
89,5VdG0eyAb-o,2023 Stock Market Crash Starts Next Week,Sasha Yanshin,2023-02-23T19:32:56Z,2023,unknown,missing,,older_year:2023,batch_4
90,-TjWq-bXJkA,Tesla Stock Is About To Go Ballistic,Sasha Yanshin,2023-02-21T14:00:00Z,2023,unknown,missing,,older_year:2023,batch_4
91,pLYSsx5Y0Hg,The 5 WORST Investing Mistakes for 2023 (Investing for Beginners),New Money,2023-02-01T15:00:35Z,2023,unknown,missing,,older_year:2023,batch_4
92,jbxaUpJTb2M,Charlie Munger: How to Invest,New Money,2023-01-27T15:00:34Z,2023,unknown,missing,,older_year:2023,batch_4
93,pQ6QAqk3lww,Warren Buffett's Top 5 Stocks for 2023,New Money,2023-01-16T16:15:38Z,2023,unknown,missing,,older_year:2023,batch_4
94,f555UWjlKho,"The U.S. Economy Enters ""The Most Dangerous Time"" in History (Jamie Dimon Explains)",New Money,2023-12-09T13:30:15Z,2023,unknown,missing,,older_year:2023,batch_4
95,3lcRdAmHgKc,Lasting Lessons from Charlie Munger.,New Money,2023-12-02T13:21:25Z,2023,unknown,missing,,older_year:2023,batch_4
96,mQeuQSFCKDw,TRIGGER PULLED! [24 HOURS],ZipTrader,2023-11-06T01:40:14Z,2023,unknown,missing,,older_year:2023,batch_4
97,MqsAm95h71Y,BIG MONEY DOING THIS!,ZipTrader,2023-11-01T00:51:13Z,2023,unknown,missing,,older_year:2023,batch_4
98,uyEhhW7Ume4,*RAPID ESCALATION*,ZipTrader,2023-10-29T23:45:31Z,2023,unknown,missing,,older_year:2023,batch_4
99,rZQ9Co9SSSM,*UNTHINKABLE JUST HAPPENED*,ZipTrader,2023-10-24T00:49:13Z,2023,unknown,missing,,older_year:2023,batch_4
100,Ii3-ZFNsNu0,*ABSOLUTE BOMBSHELL DROPPED*,ZipTrader,2023-10-23T00:17:46Z,2023,unknown,missing,,older_year:2023,batch_4
101,iZu4i5ExSm0,"I Might Spend $10,000 On This Stock Today",Joseph Carlson,2023-04-03T20:41:30Z,2023,unknown,missing,,older_year:2023,batch_5
102,N8MmnrIu-Ig,Michael Burry Just Gave Up - Why I'm Still Buying,Joseph Carlson,2023-03-30T20:24:31Z,2023,unknown,missing,,older_year:2023,batch_5
103,p8HYOjckS5A,🚀 Bigger Than ChatGPT? 4 Ways to Buy SpaceX Stock Now,Ticker Symbol: YOU,2023-03-26T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_5
104,YWT-qViOmx4,Why I’m NOT Buying Bank Stocks (Banking Crisis Continues),Joseph Carlson,2023-03-20T21:41:00Z,2023,unknown,missing,,older_year:2023,batch_5
105,wHPwpq0Dy8s,GPT-4 Makes Nvidia the BEST AI Company on Earth (NVDA Stock),Ticker Symbol: YOU,2023-03-19T17:29:28Z,2023,unknown,missing,,older_year:2023,batch_5
106,_JtBEMCh1F4,How I made +160% Returns On This Dividend Stock | Ep. 308,Joseph Carlson,2023-03-06T20:48:19Z,2023,unknown,missing,,older_year:2023,batch_5
107,0MTIHVy834Q,The CEO Is Fired - Why The Stock Could Double Now | Ep. 307,Joseph Carlson,2023-02-27T21:13:55Z,2023,unknown,missing,,older_year:2023,batch_5
108,qFmLPGb_AXg,Top AI Stocks to Buy Now (ChatGPT Just Killed Intel Stock),Ticker Symbol: YOU,2023-02-24T16:07:00Z,2023,unknown,missing,,older_year:2023,batch_5
109,bhbGQ5OkUsc,IT STARTED: The 2023 Stock Market Crash (More Inflation),Ticker Symbol: YOU,2023-02-19T18:25:35Z,2023,unknown,missing,,older_year:2023,batch_5
110,5inrHixu-YM,Apple: The Most Powerful Company On Earth (AAPL Stock),Ticker Symbol: YOU,2023-02-16T17:14:21Z,2023,unknown,missing,,older_year:2023,batch_5
111,mxhKindY644,"Roses Are Red, Violets Are Blue, Inflation Is Down, Short Sellers F*ck You",Sasha Yanshin,2023-02-14T15:34:54Z,2023,unknown,missing,,older_year:2023,batch_5
112,QWJMkcDHjok,Palantir Stock Has A Big Problem - Q4 Earnings Update,Sasha Yanshin,2023-02-14T14:04:17Z,2023,unknown,missing,,older_year:2023,batch_5
113,csQtt7J1EsM,7 Rules For Investing In Stocks,Sasha Yanshin,2023-02-09T19:09:29Z,2023,unknown,missing,,older_year:2023,batch_5
114,LJ2IIOiW-Fw,Tesla Stock - THIS IS A PROBLEM,Sasha Yanshin,2023-01-30T20:51:30Z,2023,unknown,missing,,older_year:2023,batch_5
115,DTOm9_XjQZc,Should You Invest In Stocks In 2023?,Sasha Yanshin,2023-01-18T20:05:47Z,2023,unknown,missing,,older_year:2023,batch_5
116,csfAd_kDh5A,How Did OpenAI Go So Badly Wrong?,New Money,2023-11-30T15:04:44Z,2023,unknown,missing,,older_year:2023,batch_5
117,bj2s-Y5MMag,The U.S. Economy Just Hit a Major “Inflection Point” (Ray Dalio Interview),New Money,2023-11-27T12:36:17Z,2023,unknown,missing,,older_year:2023,batch_5
118,VsY8rwX8MTc,Is the S&P 500 Just a Giant Bubble?,New Money,2023-11-21T14:44:30Z,2023,unknown,missing,,older_year:2023,batch_5
119,oG8rJ-lHijo,The Warren Buffett Scandal That Nearly Destroyed Wall Street,New Money,2023-10-25T12:47:19Z,2023,unknown,missing,,older_year:2023,batch_5
120,_J06KGsdmeQ,*BRACE FOR IMPACT*,ZipTrader,2023-10-20T00:00:42Z,2023,unknown,missing,,older_year:2023,batch_5
121,LVflI6OPLfw,*EMERGENCY UPLOAD*,ZipTrader,2023-10-15T22:08:57Z,2023,unknown,missing,,older_year:2023,batch_5
122,NTv4eWWR18U,The U.S. Economy Just Hit a Big Turning Point. (Howard Marks' Sea Change Is Here),New Money,2023-10-15T13:05:12Z,2023,unknown,missing,,older_year:2023,batch_5
123,lYdEI0d2y4Q,BREAKING: MASSIVE PROFITS FROM WAR!,ZipTrader,2023-10-11T23:49:11Z,2023,unknown,missing,,older_year:2023,batch_5
124,rhDYgsgfUgo,*CRITICAL POINT JUST HIT*,ZipTrader,2023-09-29T23:15:41Z,2023,unknown,missing,,older_year:2023,batch_5
125,V-0ShTm14IA,"Why ""Middle Class"" Is Done",ZipTrader,2023-09-25T23:35:50Z,2023,unknown,missing,,older_year:2023,batch_5
126,CFeAqi8CPpo,Intel Just Lied To Investors | Joseph Carlson Ep. 306,Joseph Carlson,2023-02-22T21:00:13Z,2023,unknown,missing,,older_year:2023,batch_6
127,Doi5mmB54q0,5 Quality Dividend Stocks I'm Buying Now | Joseph Carlson Ep. 305,Joseph Carlson,2023-02-15T21:45:19Z,2023,unknown,missing,,older_year:2023,batch_6
128,qKCNicY4O0E,Top 3 AI Stocks to Buy Now (ARK Invest's Big Ideas 2023),Ticker Symbol: YOU,2023-02-03T16:37:30Z,2023,unknown,missing,,older_year:2023,batch_6
129,LtCDcLPIUkc,"The Fed Is Bluffing, Time To Buy | Joseph Carlson Ep. 303",Joseph Carlson,2023-02-02T00:24:49Z,2023,unknown,missing,,older_year:2023,batch_6
130,-2bPY14Omw4,ARK Invest: Artificial Intelligence Stocks Will EXPLODE (Here's Why),Ticker Symbol: YOU,2023-01-29T16:53:40Z,2023,unknown,missing,,older_year:2023,batch_6
131,o2vFqYncp24,AMD's New CPUs are BIG Trouble for Intel Stock (INTC),Ticker Symbol: YOU,2023-01-22T16:07:00Z,2023,unknown,missing,,older_year:2023,batch_6
132,nfcngb5-unQ,Why I've Stopped Investing In Stocks,Sasha Yanshin,2023-01-16T19:41:39Z,2023,unknown,missing,,older_year:2023,batch_6
133,_6ewpf8dHJA,Nvidia: The Most Powerful AI Company Ever? (NVDA Stock),Ticker Symbol: YOU,2023-01-15T16:07:00Z,2023,unknown,missing,,older_year:2023,batch_6
134,BU5DzkCm2zc,Stock Market Loses Its Sh*t... Again.,Sasha Yanshin,2023-01-12T17:12:59Z,2023,unknown,missing,,older_year:2023,batch_6
135,sla8J4adT58,The 2023 Stock Market Crash Is 100% Coming,Sasha Yanshin,2023-01-11T18:25:47Z,2023,unknown,missing,,older_year:2023,batch_6
136,0fjxwzed8rM,How I Plan To Beat The Market | Joseph Carlson Ep. 299,Joseph Carlson,2023-01-10T17:39:21Z,2023,unknown,missing,,older_year:2023,batch_6
137,d7g-x7HM6Ks,You’re Being Tricked Into Losing Money,Joseph Carlson,2023-12-29T20:32:39Z,2023,unknown,missing,,older_year:2023,batch_6
138,346gtG_ZJCc,The UK Government Is Lying About Inflation,Sasha Yanshin,2023-12-20T15:31:14Z,2023,unknown,missing,,older_year:2023,batch_6
139,BICuEALqBEA,AMD'S HUGE AI Chip Announcements to Take Down Nvidia (Supercut),Ticker Symbol: YOU,2023-12-07T19:16:09Z,2023,unknown,missing,,older_year:2023,batch_6
140,uvh6m6lNxS0,UK Inflation Is Spiralling Out Of Control,Sasha Yanshin,2023-12-05T19:40:03Z,2023,unknown,missing,,older_year:2023,batch_6
141,Z2f-BzRAimA,Greedflation: This Cost of Living Crisis Is Unlike Any Other.,New Money,2023-10-03T12:49:51Z,2023,unknown,missing,,older_year:2023,batch_6
142,P2--Ia2v2PQ,THIS IS TERRIFYING!,ZipTrader,2023-09-19T22:28:54Z,2023,unknown,missing,,older_year:2023,batch_6
143,4dfYu9UQzYw,Ray Dalio: The World's Greatest Wealth Transfer Has Begun.,New Money,2023-09-04T14:48:28Z,2023,unknown,missing,,older_year:2023,batch_6
144,aQmfmFFx8HA,China's Economy is Failing.,New Money,2023-08-29T13:30:01Z,2023,unknown,missing,,older_year:2023,batch_6
145,lS7NbsDLIyk,The Shock Downgrade of the U.S. Economy,New Money,2023-08-13T14:00:30Z,2023,unknown,missing,,older_year:2023,batch_6
146,C7Fj1nSQ9nY,Palantir Has Huge Upside! [Look At These Numbers..],ZipTrader,2023-08-08T01:06:40Z,2023,unknown,missing,,older_year:2023,batch_6
147,LRQWtoOYthc,SURGE INCOMING! [48 HOURS],ZipTrader,2023-08-07T01:11:07Z,2023,unknown,missing,,older_year:2023,batch_6
148,uytorTSm6Ms,INSANITY INCOMING [time sensitive],ZipTrader,2023-07-31T00:51:37Z,2023,unknown,missing,,older_year:2023,batch_6
149,t8fx5X3bRMc,"Seth Klarman's Warning for ""The Everything Bubble""",New Money,2023-07-30T14:00:36Z,2023,unknown,missing,,older_year:2023,batch_6
150,-W0r2RbQRS0,I CAN'T BELIEVE IT!,ZipTrader,2023-07-12T23:58:57Z,2023,unknown,missing,,older_year:2023,batch_6
151,2Tf7Q1BvyEo,Everyone Was Wrong About Black Friday,Joseph Carlson,2023-11-27T22:06:11Z,2023,unknown,missing,,older_year:2023,batch_7
152,6MnAHbNy33I,The UK Inflation Problem Just Got Much Worse,Sasha Yanshin,2023-11-22T19:38:56Z,2023,unknown,missing,,older_year:2023,batch_7
153,fPVcorRpcgE,Why OpenAI REALLY Fired Sam Altman (and Who Really Wins),Ticker Symbol: YOU,2023-11-22T02:46:09Z,2023,unknown,missing,,older_year:2023,batch_7
154,eFkCGTb7Z8E,Microsoft & Nvidia's HUGE AI Announcements (Ignite Supercut),Ticker Symbol: YOU,2023-11-16T04:54:12Z,2023,unknown,missing,,older_year:2023,batch_7
155,bsp9ajJCJ-4,They Are Lying To You About UK Inflation,Sasha Yanshin,2023-11-15T13:43:52Z,2023,unknown,missing,,older_year:2023,batch_7
156,Erp1yqZKBFE,Big Tech Is Overvalued,Joseph Carlson,2023-11-13T21:46:32Z,2023,unknown,missing,,older_year:2023,batch_7
157,GZF3-3vajwo,The UK Economy Is Really F*cked,Sasha Yanshin,2023-11-11T14:59:44Z,2023,unknown,missing,,older_year:2023,batch_7
158,Ah1ZiEfqheg,"E2: HUGE OpenAI News, Qualcomm Beats Apple M3, Nvidia's Next Chips & More",Ticker Symbol: YOU,2023-11-09T16:07:00Z,2023,unknown,missing,,older_year:2023,batch_7
159,XhLlRS2-BO8,OpenAI & Microsoft's HUGE AI Announcements (Dev Day Supercut),Ticker Symbol: YOU,2023-11-06T23:28:17Z,2023,unknown,missing,,older_year:2023,batch_7
160,PKfJmi83VjA,I WAS WRONG! Intel's Crazy Plan to Dominate AI Chips is Working,Ticker Symbol: YOU,2023-11-05T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_7
161,YAV2Lo5H0xM,The UK Mortgage Crash Just Started,Sasha Yanshin,2023-10-18T15:07:32Z,2023,unknown,missing,,older_year:2023,batch_7
162,3pAJXM9iKEA,The UK Mortgage Collapse Just Started,Sasha Yanshin,2023-09-22T13:34:54Z,2023,unknown,missing,,older_year:2023,batch_7
163,jpSu27eOlAU,Preparing For the 2024 Recession,Joseph Carlson,2023-09-19T21:45:12Z,2023,unknown,missing,,older_year:2023,batch_7
164,1NvrDJ45Fpk,Visa & Mastercard Continue To Dominate | Joseph Carlson Ep. 343,Joseph Carlson,2023-08-30T19:06:13Z,2023,unknown,missing,,older_year:2023,batch_7
165,n9-4aGHx_cU,How PayPal Could Double From Here,Joseph Carlson,2023-08-17T20:59:13Z,2023,unknown,missing,,older_year:2023,batch_7
166,KYRQLzK-xsw,The U.S. Faces a HUGE Debt Crisis... #shorts,New Money,2023-07-10T15:00:25Z,2023,unknown,missing,,older_year:2023,batch_7
