target_rank,video_id,youtube_url,title,channel_title,published_at,year,current_transcript_status,priority_reason,browser_status,transcript_visible,transcript_recovered,recovery_notes
1,UuuAB2Sg2f0,https://www.youtube.com/watch?v=UuuAB2Sg2f0,"Growth Stocks Are Selling Off - I Just Spent $10,000 On This Stock",Joseph Carlson,2022-01-10T19:25:36Z,2022,missing,priority_year:2022;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock|stocks|sell;queue_reason:older_year:2022,audited,yes,no,"Public transcript control was visible in the YouTube page UI on 2026-05-12; no transcript text copied because the recovery threshold was not reached."
39,Doi5mmB54q0,https://www.youtube.com/watch?v=Doi5mmB54q0,5 Quality Dividend Stocks I'm Buying Now | Joseph Carlson Ep. 305,Joseph Carlson,2023-02-15T21:45:19Z,2023,missing,priority_year:2023;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock|stocks|buy;queue_reason:older_year:2023,pending,,,
40,DTOm9_XjQZc,https://www.youtube.com/watch?v=DTOm9_XjQZc,Should You Invest In Stocks In 2023?,Sasha Yanshin,2023-01-18T20:05:47Z,2023,missing,priority_year:2023;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|stocks|invest;queue_reason:older_year:2023,pending,,,
41,Shuu4f_5YMY,https://www.youtube.com/watch?v=Shuu4f_5YMY,How to Calculate the Intrinsic Value of a Stock (Full Example),New Money,2023-02-10T15:42:05Z,2023,missing,priority_year:2023;weak_coverage_creator:New Money;stock_recommendation_title:stock;queue_reason:older_year:2023,pending,,,
42,qKCNicY4O0E,https://www.youtube.com/watch?v=qKCNicY4O0E,Top 3 AI Stocks to Buy Now (ARK Invest's Big Ideas 2023),Ticker Symbol: YOU,2023-02-03T16:37:30Z,2023,missing,priority_year:2023;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|stocks|buy|invest;queue_reason:older_year:2023,pending,,,
43,N0QI5-ov7E4,https://www.youtube.com/watch?v=N0QI5-ov7E4,AMC STOCK: LOST IT ALL!,ZipTrader,2023-07-24T23:22:16Z,2023,missing,priority_year:2023;weak_coverage_creator:ZipTrader;stock_recommendation_title:stock;queue_reason:older_year:2023,pending,,,
44,MGOo06xzCeU,https://www.youtube.com/watch?v=MGOo06xzCeU,Waymo vs Tesla Self-Drive Test w/ Whole Mars,HyperChange,2023-11-21T04:45:31Z,2023,missing,priority_year:2023;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2023,pending,,,
45,kpFz16tKVNc,https://www.youtube.com/watch?v=kpFz16tKVNc,HUGE Green Day - 4 Dividend Stocks To Buy Now | Joseph Carlson Show Ep. 225,Joseph Carlson,2022-03-02T20:05:59Z,2022,missing,priority_year:2022;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock|stocks|buy;queue_reason:older_year:2022,pending,,,
46,AUawGbVWgb8,https://www.youtube.com/watch?v=AUawGbVWgb8,Why Palantir Stock Is Crashing - Q2 Earnings Update (It's Bad),Sasha Yanshin,2022-08-08T17:32:04Z,2022,missing,priority_year:2022;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|crash|palantir;queue_reason:older_year:2022,pending,,,
47,Zpthvpy3UKg,https://www.youtube.com/watch?v=Zpthvpy3UKg,Peter Lynch: How to Invest During High Inflation,New Money,2022-01-26T12:30:16Z,2022,missing,priority_year:2022;weak_coverage_creator:New Money;stock_recommendation_title:invest;queue_reason:older_year:2022,pending,,,
48,YJDeXEvYpBc,https://www.youtube.com/watch?v=YJDeXEvYpBc,Nvidia: The Most Powerful AI Company On Earth? (NVDA Stock),Ticker Symbol: YOU,2022-09-20T17:46:58Z,2022,missing,priority_year:2022;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|nvidia|nvda;queue_reason:older_year:2022,pending,,,
49,iJ_jnjXF9QE,https://www.youtube.com/watch?v=iJ_jnjXF9QE,Tesla Q4 2021 Earnings!!! 🥳,HyperChange,2022-01-26T21:26:46Z,2022,missing,priority_year:2022;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2022,pending,,,
50,CFeAqi8CPpo,https://www.youtube.com/watch?v=CFeAqi8CPpo,Intel Just Lied To Investors | Joseph Carlson Ep. 306,Joseph Carlson,2023-02-22T21:00:13Z,2023,missing,priority_year:2023;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:invest;queue_reason:older_year:2023,pending,,,
51,LJ2IIOiW-Fw,https://www.youtube.com/watch?v=LJ2IIOiW-Fw,Tesla Stock - THIS IS A PROBLEM,Sasha Yanshin,2023-01-30T20:51:30Z,2023,missing,priority_year:2023;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|tesla;queue_reason:older_year:2023,pending,,,
52,DBGmU9IQW-k,https://www.youtube.com/watch?v=DBGmU9IQW-k,Michael Burry BUYS Alibaba Stock,New Money,2023-02-20T16:00:08Z,2023,missing,priority_year:2023;weak_coverage_creator:New Money;stock_recommendation_title:stock|buy;queue_reason:older_year:2023,pending,,,
53,5inrHixu-YM,https://www.youtube.com/watch?v=5inrHixu-YM,Apple: The Most Powerful Company On Earth (AAPL Stock),Ticker Symbol: YOU,2023-02-16T17:14:21Z,2023,missing,priority_year:2023;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|apple|aapl;queue_reason:older_year:2023,pending,,,
54,C7Fj1nSQ9nY,https://www.youtube.com/watch?v=C7Fj1nSQ9nY,Palantir Has Huge Upside! [Look At These Numbers..],ZipTrader,2023-08-08T01:06:40Z,2023,missing,priority_year:2023;weak_coverage_creator:ZipTrader;stock_recommendation_title:palantir;queue_reason:older_year:2023,pending,,,
55,36FbQENSVYQ,https://www.youtube.com/watch?v=36FbQENSVYQ,Why is Nvidia stock worth $1T+?,HyperChange,2023-12-14T01:11:28Z,2023,missing,priority_year:2023;weak_coverage_creator:HyperChange;stock_recommendation_title:stock|nvidia;queue_reason:older_year:2023,pending,,,
56,f9QsGhrQPXg,https://www.youtube.com/watch?v=f9QsGhrQPXg,Why Investing Is So Difficult Now,Joseph Carlson,2022-03-08T22:07:05Z,2022,missing,priority_year:2022;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:invest;queue_reason:older_year:2022,pending,,,
57,SO-75ggMtqg,https://www.youtube.com/watch?v=SO-75ggMtqg,Why I Sold Palantir,Sasha Yanshin,2022-08-11T11:35:50Z,2022,missing,priority_year:2022;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:palantir;queue_reason:older_year:2022,pending,,,
58,PwARVDrGrnM,https://www.youtube.com/watch?v=PwARVDrGrnM,Michael Burry: How You Should Invest In 2022,New Money,2022-01-31T13:30:05Z,2022,missing,priority_year:2022;weak_coverage_creator:New Money;stock_recommendation_title:invest;queue_reason:older_year:2022,pending,,,
59,WH-wyXmZKZI,https://www.youtube.com/watch?v=WH-wyXmZKZI,IT STARTED: The Stock Market Crash (What You NEED to Know),Ticker Symbol: YOU,2022-09-27T15:07:00Z,2022,missing,priority_year:2022;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|market crash|crash;queue_reason:older_year:2022,pending,,,
60,0LV3EZYam6g,https://www.youtube.com/watch?v=0LV3EZYam6g,Tesla Earnings Party With Ross & Meet Kevin,HyperChange,2022-01-27T01:30:25Z,2022,missing,priority_year:2022;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2022,pending,,,
61,0MTIHVy834Q,https://www.youtube.com/watch?v=0MTIHVy834Q,The CEO Is Fired - Why The Stock Could Double Now | Ep. 307,Joseph Carlson,2023-02-27T21:13:55Z,2023,missing,priority_year:2023;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock;queue_reason:older_year:2023,pending,,,
62,tkw35ldQQIg,https://www.youtube.com/watch?v=tkw35ldQQIg,Where The F*ck Is The Crash?,Sasha Yanshin,2023-02-02T19:37:54Z,2023,missing,priority_year:2023;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:crash;queue_reason:older_year:2023,pending,,,
63,NBtCpvb9c0U,https://www.youtube.com/watch?v=NBtCpvb9c0U,Warren Buffett: 3 Powerful Lessons for Investors,New Money,2023-03-12T15:00:12Z,2023,missing,priority_year:2023;weak_coverage_creator:New Money;stock_recommendation_title:invest;queue_reason:older_year:2023,pending,,,
64,bhbGQ5OkUsc,https://www.youtube.com/watch?v=bhbGQ5OkUsc,IT STARTED: The 2023 Stock Market Crash (More Inflation),Ticker Symbol: YOU,2023-02-19T18:25:35Z,2023,missing,priority_year:2023;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|market crash|crash;queue_reason:older_year:2023,pending,,,
65,Zg7FLvlKrLg,https://www.youtube.com/watch?v=Zg7FLvlKrLg,3 Penny Stocks To Buy | October 2023,ZipTrader,2023-10-03T20:20:52Z,2023,missing,priority_year:2023;weak_coverage_creator:ZipTrader;stock_recommendation_title:stock|stocks|buy;queue_reason:older_year:2023,pending,,,
66,m8n0tTz8Cr0,https://www.youtube.com/watch?v=m8n0tTz8Cr0,Magrathea: Sustainable Magnesium & Metal Without Mining 🌊☀️,HyperChange,2023-12-28T18:58:49Z,2023,missing,priority_year:2023;weak_coverage_creator:HyperChange;stock_recommendation_title:meta;queue_reason:older_year:2023,pending,,,
67,nFUwYUk7jZc,https://www.youtube.com/watch?v=nFUwYUk7jZc,"I'm Not Worried About The Recession, Here's Why",Joseph Carlson,2022-03-15T19:46:03Z,2022,missing,priority_year:2022;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:recession;queue_reason:older_year:2022,pending,,,
68,3pphV22sOek,https://www.youtube.com/watch?v=3pphV22sOek,Tesla Stock About To Go Ballistic,Sasha Yanshin,2022-08-15T11:35:01Z,2022,missing,priority_year:2022;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|tesla;queue_reason:older_year:2022,pending,,,
69,8bHzstW_2hI,https://www.youtube.com/watch?v=8bHzstW_2hI,5 Investing Books You Need to Read in 2022,New Money,2022-02-06T12:30:05Z,2022,missing,priority_year:2022;weak_coverage_creator:New Money;stock_recommendation_title:invest;queue_reason:older_year:2022,pending,,,
70,GP3KohmMeTA,https://www.youtube.com/watch?v=GP3KohmMeTA,Michael Burry vs Cathie Wood on the Next Stock Market Crash,Ticker Symbol: YOU,2022-10-06T15:07:00Z,2022,missing,priority_year:2022;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|market crash|crash;queue_reason:older_year:2022,pending,,,
71,38tAQuuBwyI,https://www.youtube.com/watch?v=38tAQuuBwyI,Autopilot 🤖 My Favorite Tesla Feature,HyperChange,2022-02-01T21:26:50Z,2022,missing,priority_year:2022;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2022,pending,,,
72,_JtBEMCh1F4,https://www.youtube.com/watch?v=_JtBEMCh1F4,How I made +160% Returns On This Dividend Stock | Ep. 308,Joseph Carlson,2023-03-06T20:48:19Z,2023,missing,priority_year:2023;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock;queue_reason:older_year:2023,pending,,,
73,csQtt7J1EsM,https://www.youtube.com/watch?v=csQtt7J1EsM,7 Rules For Investing In Stocks,Sasha Yanshin,2023-02-09T19:09:29Z,2023,missing,priority_year:2023;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|stocks|invest;queue_reason:older_year:2023,pending,,,
74,PU7Sv9RCxmI,https://www.youtube.com/watch?v=PU7Sv9RCxmI,Investing During an Economic Crisis (The Guy Spier Interview),New Money,2023-03-18T15:00:15Z,2023,missing,priority_year:2023;weak_coverage_creator:New Money;stock_recommendation_title:invest;queue_reason:older_year:2023,pending,,,
75,qFmLPGb_AXg,https://www.youtube.com/watch?v=qFmLPGb_AXg,Top AI Stocks to Buy Now (ChatGPT Just Killed Intel Stock),Ticker Symbol: YOU,2023-02-24T16:07:00Z,2023,missing,priority_year:2023;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|stocks|buy;queue_reason:older_year:2023,pending,,,
76,izZtTUyaNwY,https://www.youtube.com/watch?v=izZtTUyaNwY,I Just Bought A New Stock,Joseph Carlson,2022-03-30T18:18:29Z,2022,missing,priority_year:2022;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock;queue_reason:older_year:2022,pending,,,
77,N84gjIA8vA8,https://www.youtube.com/watch?v=N84gjIA8vA8,The 2022 Stock Market Crash - URGENT WARNING,Sasha Yanshin,2022-08-22T15:24:27Z,2022,missing,priority_year:2022;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|market crash|crash;queue_reason:older_year:2022,pending,,,
78,0kCPNMgLD1I,https://www.youtube.com/watch?v=0kCPNMgLD1I,Warren Buffett's 3 New Stocks for 2022!,New Money,2022-02-16T12:30:01Z,2022,missing,priority_year:2022;weak_coverage_creator:New Money;stock_recommendation_title:stock|stocks;queue_reason:older_year:2022,pending,,,
79,gqQmbMqFmQQ,https://www.youtube.com/watch?v=gqQmbMqFmQQ,Michael Burry on the Stock Market Crash (It Will Be Bad),Ticker Symbol: YOU,2022-10-09T15:58:01Z,2022,missing,priority_year:2022;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|market crash|crash;queue_reason:older_year:2022,pending,,,
80,2jAChPzeGMs,https://www.youtube.com/watch?v=2jAChPzeGMs,Arguing about Tesla’s FSD Beta with Omar/Whole Mars,HyperChange,2022-02-01T22:37:35Z,2022,missing,priority_year:2022;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2022,pending,,,
81,YWT-qViOmx4,https://www.youtube.com/watch?v=YWT-qViOmx4,Why I’m NOT Buying Bank Stocks (Banking Crisis Continues),Joseph Carlson,2023-03-20T21:41:00Z,2023,missing,priority_year:2023;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock|stocks|buy;queue_reason:older_year:2023,pending,,,
82,QWJMkcDHjok,https://www.youtube.com/watch?v=QWJMkcDHjok,Palantir Stock Has A Big Problem - Q4 Earnings Update,Sasha Yanshin,2023-02-14T14:04:17Z,2023,missing,priority_year:2023;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|palantir;queue_reason:older_year:2023,pending,,,
83,l8FkV-hAuFg,https://www.youtube.com/watch?v=l8FkV-hAuFg,Ray Dalio's Warning for the Economic Crisis and U.S. Recession,New Money,2023-03-22T14:47:53Z,2023,missing,priority_year:2023;weak_coverage_creator:New Money;stock_recommendation_title:recession;queue_reason:older_year:2023,pending,,,
84,wHPwpq0Dy8s,https://www.youtube.com/watch?v=wHPwpq0Dy8s,GPT-4 Makes Nvidia the BEST AI Company on Earth (NVDA Stock),Ticker Symbol: YOU,2023-03-19T17:29:28Z,2023,missing,priority_year:2023;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|nvidia|nvda;queue_reason:older_year:2023,pending,,,
85,G_MUWbAgtOk,https://www.youtube.com/watch?v=G_MUWbAgtOk,Apple's Master Plan Revealed (Investors Should Know),Joseph Carlson,2022-04-01T18:03:34Z,2022,missing,priority_year:2022;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:invest|apple;queue_reason:older_year:2022,pending,,,
86,xUagsLPCj10,https://www.youtube.com/watch?v=xUagsLPCj10,NEVER SELL YOUR STOCKS,Sasha Yanshin,2022-08-24T15:46:02Z,2022,missing,priority_year:2022;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|stocks|sell;queue_reason:older_year:2022,pending,,,
87,K9YbiSYCv1I,https://www.youtube.com/watch?v=K9YbiSYCv1I,Charlie Munger on Investing in China and Alibaba Stock,New Money,2022-02-23T12:45:01Z,2022,missing,priority_year:2022;weak_coverage_creator:New Money;stock_recommendation_title:stock|invest;queue_reason:older_year:2022,pending,,,
